,chembl_ids,IC50s,SMILES
3559,CHEMBL4460336,3.0,O=C1Nc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2C1=O
4209,CHEMBL5199917,3.0,Cc1ccccc1OC/C(=C/F)CN
4210,CHEMBL5197971,3.0,Cl.NCC(=CF)C1Cc2ccccc2O1
2078,CHEMBL3764447,3.0,O=c1oc2cc(OCc3ccc(Cl)cc3)ccc2s1
951,CHEMBL2151678,3.01,C/C(=N/Nc1nc(-c2ccc(F)cc2F)cs1)c1cccs1
4070,CHEMBL4865050,3.1,COc1ccc2c(=O)c(/C=C/c3ccc(F)cc3)coc2c1
3982,CHEMBL1470839,3.16,O=C(Nc1ccc(Cl)c(Cl)c1)C1=Cc2ccccc2OC1
699,CHEMBL1830829,3.22,NNC(=O)c1cc2ccccc2oc1=O
738,CHEMBL1835232,3.25,COc1cc(-c2cc3cc(C)ccc3oc2=O)ccc1Br
3533,CHEMBL4439889,3.27,O=C(Nc1ccc2[nH]ccc2n1)c1ccc(F)c(Cl)c1
801,CHEMBL1945155,3.3,O=c1ccoc2ccc(OCc3ccc(Br)cc3)cc12
3664,CHEMBL4534643,3.31,CCc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1
60,CHEMBL109018,3.31,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O
3985,CHEMBL4870887,3.35,Cc1ccc(NC(=O)c2csc3ccccc3c2=O)cc1C
4920,CHEMBL5573057,3.4,O=C1C(c2cc(-c3ccc(Cl)cc3)no2)=CS(=O)(=O)c2ccccc21
4339,CHEMBL5206513,3.4,Clc1cccc(Cn2ccc3c(NC4CCOCC4)nc4ccccc4c32)c1
4468,CHEMBL5275768,3.4,Cc1ccc(/C=C/C(=O)c2ccc3c(c2)OCCO3)cc1
4921,CHEMBL5574276,3.4,COc1ccc(-c2cc(C3=CS(=O)(=O)c4ccccc4C3=O)on2)cc1
1623,CHEMBL3319250,3.42,COc1ccc(NC(=O)c2ccc3[nH]ncc3c2)cc1Cl
1192,CHEMBL2391871,3.5,O=C1OCc2ccc(OCc3cccc(Br)c3)cc21
798,CHEMBL1945152,3.6,O=c1ccoc2ccc(OCc3cccc(Cl)c3)cc12
37,CHEMBL2094027,3.6,Cl.N[C@H]1C[C@]1(F)c1ccccc1
910,CHEMBL2062872,3.7,O=Cc1coc2ccc(OCc3cccc(Br)c3)cc2c1=O
4273,CHEMBL5178689,3.8,Cc1ccc(COc2ccc3c(c2)C(=O)CCC3)cc1
4843,CHEMBL145781,3.8,O=c1ccc2ccc(OCc3ccccc3)cc2o1
2599,CHEMBL145781,3.8,O=c1ccc2ccc(OCc3ccccc3)cc2o1
317,CHEMBL1213915,3.81,COc1cccc(-c2csc(N/N=C(\C)c3cccnc3)n2)c1
3002,CHEMBL972,3.9,C#CCN(C)[C@H](C)Cc1ccccc1
2589,CHEMBL4074532,3.94,COc1ccc2occ(C(=O)Nc3cccc(Cl)c3)c(=O)c2c1
2178,CHEMBL2062879,4.0,CC(=O)c1ccc(OCc2ccc(Br)cc2)cc1O
3963,CHEMBL4790537,4.0,C#CCN(C)CCCCCOc1ccc2c(c1)OCCC2=O
427,CHEMBL1253845,4.0,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
4298,CHEMBL5194743,4.0,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)o[11c]1=O
5146,CHEMBL887,4.0,C#CCN[C@@H]1CCc2ccccc21
2501,CHEMBL4071507,4.0,O=C1COC(c2ccc(/N=N/c3ccccc3)cc2)=NN1
4729,CHEMBL2019154,4.0,COc1ccc(-c2cc3cc(Cl)ccc3oc2=O)cc1
917,CHEMBL2062878,4.0,CC(=O)c1ccc(OCc2cccc(Br)c2)cc1O
4740,CHEMBL5407170,4.0,O=C1CCc2ccc(OCc3ccccc3F)cc2O1
4206,CHEMBL5198317,4.0,NCC(=CF)COc1ccc(F)cc1
2077,CHEMBL3763837,4.0,O=c1oc2cc(OCc3cccc(Cl)c3)ccc2s1
447,CHEMBL1253699,4.0,Fc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
1951,CHEMBL887,4.0,C#CCN[C@@H]1CCc2ccccc21
4306,CHEMBL5174857,4.1,O=C1CSc2cc(OCc3ccc(Br)cc3)ccc2N1
1579,CHEMBL3360735,4.1,Cc1ccc2oc(=O)c(-c3ccc(N)cc3)cc2c1
1737,CHEMBL45069,4.1,C#CCNCc1cc2cc(OCc3ccccc3)ccc2[nH]1
5564,CHEMBL972,4.15,C#CCN(C)[C@H](C)Cc1ccccc1
2582,CHEMBL4060916,4.2,Cc1ccc2occ(C(=O)Nc3cccc(Cl)c3)c(=O)c2c1
2326,CHEMBL325761,4.25,Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O
1621,CHEMBL3319252,4.36,COc1cc(NC(=O)c2ccc3[nH]ncc3c2)ccc1Cl
4462,CHEMBL5281646,4.4,COc1ccc2c(c1)C/C(=C\c1ccc(Br)o1)C2=O
4469,CHEMBL887,4.4,C#CCN[C@@H]1CCc2ccccc21
137,CHEMBL406861,4.4,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
2,CHEMBL17079,4.4,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S
2006,CHEMBL406861,4.4,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
59,CHEMBL887,4.4,C#CCN[C@@H]1CCc2ccccc21
1007,CHEMBL2158241,4.5,O=C1NC(=O)c2cc(SCc3ccccc3)ccc21
3343,CHEMBL4561401,4.5,CCC(C)(C)c1ccc(OCCCN2CCCC2)cc1
1215,CHEMBL2408569,4.5,CC1CC(=O)c2cnc(Nc3ccc(C#N)cc3)nc2C1
2177,CHEMBL3288299,4.5,O=C1CCCc2cc(OCc3ccc(I)cc3)ccc21
1550,CHEMBL3288298,4.5,O=C1CCCc2cc(OCc3cccc(I)c3)ccc21
1137,CHEMBL2332174,4.51,COc1ccc(C(=O)/C=C/C=C/c2ccc(Cl)cc2)c(O)c1
4342,CHEMBL5187034,4.6,Clc1cccc(Cn2ccc3c(NCC4CCOC4)nc4ccccc4c32)c1
4412,CHEMBL5220869,4.7,O=c1[nH]c2ccc(OCc3cccc(C(F)(F)F)c3)cc2c(=O)o1
3999,CHEMBL4860050,4.7,C#CCNC1CCc2c(SCc3cccc(C(F)(F)F)c3)cccc21
1049,CHEMBL2204752,4.8,N#Cc1ccc(OCc2ccc(Br)cc2)cc1C#N
1707,CHEMBL2204752,4.8,N#Cc1ccc(OCc2ccc(Br)cc2)cc1C#N
5153,CHEMBL489079,5.0,NC/C(=C/F)CCc1ccc(F)cc1
2369,CHEMBL489079,5.0,NC/C(=C/F)CCc1ccc(F)cc1
3023,CHEMBL4239843,5.0,C#CCN(C)[C@H](C)Cc1ccc(OCc2ccccc2)cc1
4340,CHEMBL5199814,5.0,COc1cccc(Cn2ccc3c(NC4CCOCC4)nc4ccccc4c32)c1
4214,CHEMBL5196906,5.0,Cl.NC/C(=C\F)[C@H]1Cc2ccccc2O1
2079,CHEMBL3763320,5.0,Cc1ccc(COc2ccc3sc(=O)oc3c2)cc1
2324,CHEMBL108697,5.03,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O
1510,CHEMBL3264959,5.06,C[C@@H]1CC/C(=N\Nc2nc(-c3ccc(F)cc3F)cs2)C1
2569,CHEMBL494798,5.07,Cc1ccc2oc(=O)c(C(=O)Nc3cccc(Cl)c3)cc2c1
4916,CHEMBL5595687,5.1,COc1cccc(-c2cc(C3=CS(=O)(=O)c4ccccc4C3=O)on2)c1
4265,CHEMBL5171059,5.1,C/C(=N\NC(=O)c1cc(-c2ccccc2)on1)c1ccc(C)cc1
136,CHEMBL139679,5.1,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O
1600,CHEMBL396778,5.18,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
3431,CHEMBL396778,5.18,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
2266,CHEMBL3986834,5.2,Cc1ccc(/C=C2\Cc3cc(O)ccc3C2=O)cc1
4356,CHEMBL5187539,5.2,CN(CCO)c1nc2ccccc2c2c1ccn2Cc1cccc(Cl)c1
2264,CHEMBL3950873,5.3,O=C1/C(=C/c2ccc(Br)cc2)Cc2cc(O)ccc21
2798,CHEMBL4174116,5.3,C/C(=N/Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)C1CC1
